name,bioguide_id,state,district,party,role,twitter,facebook,youtube,instagram,website
Maria Cantwell,C000127,WA,,Democrat,Senator,SenatorCantwell,senatorcantwell,SenatorCantwell,,https://www.cantwell.senate.gov
Amy Klobuchar,K000367,MN,,Democrat,Senator,SenAmyKlobuchar,,senatorklobuchar,,https://www.klobuchar.senate.gov
Bernard Sanders,S000033,VT,,Independent,Senator,SenSanders,senatorsanders,senatorsanders,,https://www.sanders.senate.gov
Sheldon Whitehouse,W000802,RI,,Democrat,Senator,SenWhitehouse,SenatorWhitehouse,SenatorWhitehouse,SenWhitehouse,https://www.whitehouse.senate.gov
John Barrasso,B001261,WY,,Republican,Senator,SenJohnBarrasso,johnbarrasso,barrassowyo,,https://www.barrasso.senate.gov
Roger Wicker,W000437,MS,,Republican,Senator,SenatorWicker,SenatorWicker,SenatorWicker,senatorwicker,https://www.wicker.senate.gov
Susan Collins,C001035,ME,,Republican,Senator,SenatorCollins,susancollins,SenatorSusanCollins,sensusancollins,https://www.collins.senate.gov
John Cornyn,C001056,TX,,Republican,Senator,JohnCornyn,sen.johncornyn,senjohncornyn,,https://www.cornyn.senate.gov
Richard Durbin,D000563,IL,,Democrat,Senator,SenatorDurbin,SenatorDurbin,SenatorDurbin,,https://www.durbin.senate.gov
Lindsey Graham,G000359,SC,,Republican,Senator,GrahamBlog,USSenatorLindseyGraham,USSenLindseyGraham,,https://www.lgraham.senate.gov/public
Mitch McConnell,M000355,KY,,Republican,Senator,McConnellPress,mitchmcconnell,,mcconnellpress,https://www.mcconnell.senate.gov
Jeff Merkley,M001176,OR,,Democrat,Senator,SenJeffMerkley,jeffmerkley,SenatorJeffMerkley,senjeffmerkley,https://www.merkley.senate.gov
John Reed,R000122,RI,,Democrat,Senator,SenJackReed,SenJackReed,SenatorReed,,https://www.reed.senate.gov
James Risch,R000584,ID,,Republican,Senator,SenatorRisch,senatorjimrisch,SenatorJamesRisch,,https://www.risch.senate.gov
Jeanne Shaheen,S001181,NH,,Democrat,Senator,SenatorShaheen,SenatorShaheen,senatorshaheen,senatorshaheen,https://www.shaheen.senate.gov
Mark Warner,W000805,VA,,Democrat,Senator,MarkWarner,MarkRWarner,SenatorMarkWarner,senatorwarner,https://www.warner.senate.gov
Kirsten Gillibrand,G000555,NY,,Democrat,Senator,GillibrandNY,SenKirstenGillibrand,KirstenEGillibrand,senkirstengillibrand,https://www.gillibrand.senate.gov
Christopher Coons,C001088,DE,,Democrat,Senator,ChrisCoons,senatorchriscoons,senatorchriscoons,senatorchriscoons,https://www.coons.senate.gov
Robert Aderholt,A000055,AL,4,Republican,Representative,Robert_Aderholt,RobertAderholt,RobertAderholt,,https://aderholt.house.gov
Tammy Baldwin,B001230,WI,,Democrat,Senator,SenatorBaldwin,senatortammybaldwin,witammybaldwin,senatorbaldwin,https://www.baldwin.senate.gov
Michael Bennet,B001267,CO,,Democrat,Senator,SenatorBennet,senbennetco,SenatorBennet,SenBennetCO,https://www.bennet.senate.gov
Gus Bilirakis,B001257,FL,12,Republican,Representative,RepGusBilirakis,GusBilirakis,RepGusBilirakis,gusbilirakis,https://bilirakis.house.gov
Sanford Bishop,B000490,GA,2,Democrat,Representative,SanfordBishop,sanfordbishop,RepSanfordBishop,,https://bishop.house.gov
Marsha Blackburn,B001243,TN,,Republican,Senator,MarshaBlackburn,marshablackburn,RepMarshaBlackburn,marshablackburn,https://www.blackburn.senate.gov
Richard Blumenthal,B001277,CT,,Democrat,Senator,SenBlumenthal,SenBlumenthal,SenatorBlumenthal,senblumenthal,https://www.blumenthal.senate.gov
